match_id,series_id,match_details,result,Team1,Score1,Team2,Score2,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs
598062,586733,"64th match:CSK v DD at Chennai- May 14, 2013",CSK won by 33 runs,CSK,168,DD,135,14/05/13,Chennai,64th match,CSK,DD,CSK,33,,,CSK,168,4,20,20,DD,135,9,20,20
598061,586733,"65th match:KKR v PWI at Ranchi- May 15, 2013",PWI won by 7 runs,PWI,170,KKR,163,15/05/13,Ranchi,65th match,KKR,PWI,PWI,7,,,PWI,170,4,20,20,KKR,163,7,20,20
598063,586733,"66th match:MI v RR at Mumbai- May 15, 2013",MI won by 14 runs,MI,166,RR,152,15/05/13,Mumbai,66th match,MI,RR,MI,14,,,MI,166,8,20,20,RR,152,7,20,20
598028,586733,"67th match:KXIP v DD at Dharamsala- May 16, 2013",KXIP won by 7 runs,KXIP,171,DD,164,16/05/13,Dharamsala,67th match,KXIP,DD,KXIP,7,,,KXIP,171,4,20,20,DD,164,7,20,20
598065,586733,"68th match:SRH v RR at Hyderabad (Deccan)- May 17, 2013",SRH won by 23 runs,SRH,136,RR,113,17/05/13,Hyderabad (Deccan),68th match,SRH,RR,SRH,23,,,SRH,136,9,20,20,RR,113,9,20,20
598066,586733,"69th match:KXIP v MI at Dharamsala- May 18, 2013",KXIP won by 50 runs,KXIP,183,MI,133,18/05/13,Dharamsala,69th match,KXIP,MI,KXIP,50,,,KXIP,183,8,20,20,MI,133,10,19.1,20
598068,586733,"70th match:RCB v CSK at Bangalore- May 18, 2013",RCB won by 24 runs,RCB,106,CSK,82,18/05/13,Bangalore,70th match,RCB,CSK,RCB,24,,,RCB,106,2,8,8,CSK,82,6,8,8
598067,586733,"71st match:PWI v DD at Pune- May 19, 2013",PWI won by 38 runs,PWI,172,DD,134,19/05/13,Pune,71st match,PWI,DD,PWI,38,,,PWI,172,5,20,20,DD,134,9,20,20
598069,586733,"72nd match:SRH v KKR at Hyderabad (Deccan)- May 19, 2013",SRH won by 5 wickets (with 7 balls remaining),KKR,130,SRH,132,19/05/13,Hyderabad (Deccan),72nd match,SRH,KKR,SRH,,5,7,KKR,130,7,20,20,SRH,132,5,18.5,20
598070,586733,"Qualifier 1:CSK v MI at Delhi- May 21, 2013",CSK won by 48 runs,CSK,192,MI,144,21/05/13,Delhi,Qualifier 1,CSK,MI,CSK,48,,,CSK,192,1,20,20,MI,144,10,18.4,20
598071,586733,"Eliminator:RR v SRH at Delhi- May 22, 2013",RR won by 4 wickets (with 4 balls remaining),SRH,132,RR,135,22/05/13,Delhi,Eliminator,RR,SRH,RR,,4,4,SRH,132,7,20,20,RR,135,6,19.2,20
598072,586733,"Qualifier 2:MI v RR at Kolkata- May 24, 2013",MI won by 4 wickets (with 1 ball remaining),RR,165,MI,169,24/05/13,Kolkata,Qualifier 2,MI,RR,MI,,4,1,RR,165,6,20,20,MI,169,6,19.5,20
598073,586733,"Final:CSK v MI at Kolkata- May 26, 2013",MI won by 23 runs,MI,148,CSK,125,26/05/13,Kolkata,Final,CSK,MI,MI,23,,,MI,148,9,20,20,CSK,125,9,20,20
,,,,,,,,,,,,,,,,,,,,,,,,,,
